Variable Name,Original Order,Event Wording,Impression (I) or Sentiment (S)?,A/B/O/I Rated?,Concept Number,E/P/A Rated?
i7e,403,registered_nurse_SI1E,s,i,7,e
i7p,404,registered_nurse_SI2P,s,i,7,p
i7a,405,registered_nurse_SI3A,s,i,7,a
i8e,406,scientist_SI1E,s,i,8,e
i8p,407,scientist_SI2P,s,i,8,p
i8a,408,scientist_SI3A,s,i,8,a
i9e,409,old_timer_SI1E,s,i,9,e
i9p,410,old_timer_SI2P,s,i,9,p
i9a,411,old_timer_SI3A,s,i,9,a
i10e,412,villain_SI1E,s,i,10,e
i10p,413,villain_SI2P,s,i,10,p
i10a,414,villain_SI3A,s,i,10,a
i11e,415,gossip_SI1E,s,i,11,e
i11p,416,gossip_SI2P,s,i,11,p
i11a,417,gossip_SI3A,s,i,11,a
i12e,418,unemployed_person_SI1E,s,i,12,e
i12p,419,unemployed_person_SI2P,s,i,12,p
i12a,420,unemployed_person_SI3A,s,i,12,a
i13e,625,heroine_SI1E,s,i,13,e
i13p,626,heroine_SI2P,s,i,13,p
i13a,627,heroine_SI3A,s,i,13,a
i14e,628,child_SI1E,s,i,14,e
i14p,629,child_SI2P,s,i,14,p
i14a,630,child_SI3A,s,i,14,a
i15e,631,patient_SI1E,s,i,15,e
i15p,632,patient_SI2P,s,i,15,p
i15a,633,patient_SI3A,s,i,15,a
i16e,634,divorcé_SI1E,s,i,16,e
i16p,635,divorcé_SI2P,s,i,16,p
i16a,636,divorcé_SI3A,s,i,16,a
i17e,637,hothead_SI1E,s,i,17,e
i17p,638,hothead_SI2P,s,i,17,p
i17a,639,hothead_SI3A,s,i,17,a
i18e,640,beginner_SI1E,s,i,18,e
i18p,641,beginner_SI2P,s,i,18,p
i18a,642,beginner_SI3A,s,i,18,a
i19e,847,teammate_SI1E,s,i,19,e
i19p,848,teammate_SI2P,s,i,19,p
i19a,849,teammate_SI3A,s,i,19,a
i20e,850,teenager_SI1E,s,i,20,e
i20p,851,teenager_SI2P,s,i,20,p
i20a,852,teenager_SI3A,s,i,20,a
i21e,853,retiree_SI1E,s,i,21,e
i21p,854,retiree_SI2P,s,i,21,p
i21a,855,retiree_SI3A,s,i,21,a
i22e,856,enemy_SI1E,s,i,22,e
i22p,857,enemy_SI2P,s,i,22,p
i22a,858,enemy_SI3A,s,i,22,a
i23e,859,lunatic_SI1E,s,i,23,e
i23p,860,lunatic_SI2P,s,i,23,p
i23a,861,lunatic_SI3A,s,i,23,a
i24e,862,champion_SI1E,s,i,24,e
i24p,863,champion_SI2P,s,i,24,p
i24a,864,champion_SI3A,s,i,24,a
i25e,1069,genius_SI1E,s,i,25,e
i25p,1070,genius_SI2P,s,i,25,p
i25a,1071,genius_SI3A,s,i,25,a
i26e,1072,toddler_SI1E,s,i,26,e
i26p,1073,toddler_SI2P,s,i,26,p
i26a,1074,toddler_SI3A,s,i,26,a
i27e,1075,bully_SI1E,s,i,27,e
i27p,1076,bully_SI2P,s,i,27,p
i27a,1077,bully_SI3A,s,i,27,a
i28e,1078,executioner_SI1E,s,i,28,e
i28p,1079,executioner_SI2P,s,i,28,p
i28a,1080,executioner_SI3A,s,i,28,a
i29e,1081,psychotic_SI1E,s,i,29,e
i29p,1082,psychotic_SI2P,s,i,29,p
i29a,1083,psychotic_SI3A,s,i,29,a
i30e,1084,victim_SI1E,s,i,30,e
i30p,1085,victim_SI2P,s,i,30,p
i30a,1086,victim_SI3A,s,i,30,a
i31e,1291,grandparent_SI1E,s,i,31,e
i31p,1292,grandparent_SI2P,s,i,31,p
i31a,1293,grandparent_SI3A,s,i,31,a
i32e,1294,youngster_SI1E,s,i,32,e
i32p,1295,youngster_SI2P,s,i,32,p
i32a,1296,youngster_SI3A,s,i,32,a
i33e,1297,gangster_SI1E,s,i,33,e
i33p,1298,gangster_SI2P,s,i,33,p
i33a,1299,gangster_SI3A,s,i,33,a
i34e,1300,murderer_SI1E,s,i,34,e
i34p,1301,murderer_SI2P,s,i,34,p
i34a,1302,murderer_SI3A,s,i,34,a
i35e,1303,deadbeat_dad_SI1E,s,i,35,e
i35p,1304,deadbeat_dad_SI2P,s,i,35,p
i35a,1305,deadbeat_dad_SI3A,s,i,35,a
i36e,1513,pastor_SI1E,s,i,36,e
i36p,1514,pastor_SI2P,s,i,36,p
i36a,1515,pastor_SI3A,s,i,36,a
i37e,1516,applicant_SI1E,s,i,37,e
i37p,1517,applicant_SI2P,s,i,37,p
i37a,1518,applicant_SI3A,s,i,37,a
i38e,1519,gunman_SI1E,s,i,38,e
i38p,1520,gunman_SI2P,s,i,38,p
i38a,1521,gunman_SI3A,s,i,38,a
i39e,1522,serial_murderer_SI1E,s,i,39,e
i39p,1523,serial_murderer_SI2P,s,i,39,p
i39a,1524,serial_murderer_SI3A,s,i,39,a
i40e,1525,do_nothing_SI1E,s,i,40,e
i40p,1526,do_nothing_SI2P,s,i,40,p
i40a,1527,do_nothing_SI3A,s,i,40,a
