Variable Name,Original Order,Event Wording,Actor,A#,Behavior,B#,Object,O#,Impression (I) or Sentiment (S)?,Event Number,A/B/O/I Rated?,E/P/A Rated?
e6oa,33,athlete_interrupting_ENEMY_IO3A,athlete,i1,interrupting,b13,enemy,i22,i,6,o,a
e6ae,1360,ATHLETE_interrupting_enemy_IA1E,athlete,i1,interrupting,b13,enemy,i22,i,6,a,e
e6ap,1361,ATHLETE_interrupting_enemy_IA2P,athlete,i1,interrupting,b13,enemy,i22,i,6,a,p
e6aa,1362,ATHLETE_interrupting_enemy_IA3A,athlete,i1,interrupting,b13,enemy,i22,i,6,a,a
e6be,1582,athlete_INTERRUPTING_enemy_IB1E,athlete,i1,interrupting,b13,enemy,i22,i,6,b,e
e6bp,1583,athlete_INTERRUPTING_enemy_IB2P,athlete,i1,interrupting,b13,enemy,i22,i,6,b,p
e6ba,1584,athlete_INTERRUPTING_enemy_IB3A,athlete,i1,interrupting,b13,enemy,i22,i,6,b,a
e7ae,676,ATHLETE_joking_with_hothead_IA1E,athlete,i1,joking with,b1,hothead,i17,i,7,a,e
e7ap,677,ATHLETE_joking_with_hothead_IA2P,athlete,i1,joking with,b1,hothead,i17,i,7,a,p
e7aa,678,ATHLETE_joking_with_hothead_IA3A,athlete,i1,joking with,b1,hothead,i17,i,7,a,a
e7be,898,athlete_JOKING_WITH_hothead_IB1E,athlete,i1,joking with,b1,hothead,i17,i,7,b,e
e7bp,899,athlete_JOKING_WITH_hothead_IB2P,athlete,i1,joking with,b1,hothead,i17,i,7,b,p
e7ba,900,athlete_JOKING_WITH_hothead_IB3A,athlete,i1,joking with,b1,hothead,i17,i,7,b,a
e7oe,1120,athlete_joking_with_HOTHEAD_IO1E,athlete,i1,joking with,b1,hothead,i17,i,7,o,e
e7op,1121,athlete_joking_with_HOTHEAD_IO2P,athlete,i1,joking with,b1,hothead,i17,i,7,o,p
e7oa,1122,athlete_joking_with_HOTHEAD_IO3A,athlete,i1,joking with,b1,hothead,i17,i,7,o,a
e8ae,19,ATHLETE_staring_at_teammate_IA1E,athlete,i1,staring at,b31,teammate,i19,i,8,a,e
e8ap,20,ATHLETE_staring_at_teammate_IA2P,athlete,i1,staring at,b31,teammate,i19,i,8,a,p
e8aa,21,ATHLETE_staring_at_teammate_IA3A,athlete,i1,staring at,b31,teammate,i19,i,8,a,a
e8be,241,athlete_STARING_AT_teammate_IB1E,athlete,i1,staring at,b31,teammate,i19,i,8,b,e
e8bp,242,athlete_STARING_AT_teammate_IB2P,athlete,i1,staring at,b31,teammate,i19,i,8,b,p
e8ba,243,athlete_STARING_AT_teammate_IB3A,athlete,i1,staring at,b31,teammate,i19,i,8,b,a
e8oe,463,athlete_staring_at_TEAMMATE_IO1E,athlete,i1,staring at,b31,teammate,i19,i,8,o,e
e8op,464,athlete_staring_at_TEAMMATE_IO2P,athlete,i1,staring at,b31,teammate,i19,i,8,o,p
e8oa,465,athlete_staring_at_TEAMMATE_IO3A,athlete,i1,staring at,b31,teammate,i19,i,8,o,a
e9oe,4,athlete_watching_CHAMPION_IO1E,athlete,i1,watching,b3,champion,i24,i,9,o,e
e9op,5,athlete_watching_CHAMPION_IO2P,athlete,i1,watching,b3,champion,i24,i,9,o,p
e9oa,6,athlete_watching_CHAMPION_IO3A,athlete,i1,watching,b3,champion,i24,i,9,o,a
e9ae,1333,ATHLETE_watching_champion_IA1E,athlete,i1,watching,b3,champion,i24,i,9,a,e
e9ap,1334,ATHLETE_watching_champion_IA2P,athlete,i1,watching,b3,champion,i24,i,9,a,p
e9aa,1335,ATHLETE_watching_champion_IA3A,athlete,i1,watching,b3,champion,i24,i,9,a,a
e9be,1555,athlete_WATCHING_champion_IB1E,athlete,i1,watching,b3,champion,i24,i,9,b,e
e9bp,1556,athlete_WATCHING_champion_IB2P,athlete,i1,watching,b3,champion,i24,i,9,b,p
e9ba,1557,athlete_WATCHING_champion_IB3A,athlete,i1,watching,b3,champion,i24,i,9,b,a
e10ae,469,BEGINNER_babbling_to_champion_IA1E,beginner,i18,babbling to,b36,champion,i24,i,10,a,e
e10ap,470,BEGINNER_babbling_to_champion_IA2P,beginner,i18,babbling to,b36,champion,i24,i,10,a,p
e10aa,471,BEGINNER_babbling_to_champion_IA3A,beginner,i18,babbling to,b36,champion,i24,i,10,a,a
e10be,691,beginner_BABBLING_TO_champion_IB1E,beginner,i18,babbling to,b36,champion,i24,i,10,b,e
e10bp,692,beginner_BABBLING_TO_champion_IB2P,beginner,i18,babbling to,b36,champion,i24,i,10,b,p
e10ba,693,beginner_BABBLING_TO_champion_IB3A,beginner,i18,babbling to,b36,champion,i24,i,10,b,a
e10oe,913,beginner_babbling_to_CHAMPION_IO1E,beginner,i18,babbling to,b36,champion,i24,i,10,o,e
e10op,914,beginner_babbling_to_CHAMPION_IO2P,beginner,i18,babbling to,b36,champion,i24,i,10,o,p
e10oa,915,beginner_babbling_to_CHAMPION_IO3A,beginner,i18,babbling to,b36,champion,i24,i,10,o,a
e11ae,451,BEGINNER_obeying_champion_IA1E,beginner,i18,obeying,b30,champion,i24,i,11,a,e
e11ap,452,BEGINNER_obeying_champion_IA2P,beginner,i18,obeying,b30,champion,i24,i,11,a,p
e11aa,453,BEGINNER_obeying_champion_IA3A,beginner,i18,obeying,b30,champion,i24,i,11,a,a
e11be,673,beginner_OBEYING_champion_IB1E,beginner,i18,obeying,b30,champion,i24,i,11,b,e
e11bp,674,beginner_OBEYING_champion_IB2P,beginner,i18,obeying,b30,champion,i24,i,11,b,p
e11ba,675,beginner_OBEYING_champion_IB3A,beginner,i18,obeying,b30,champion,i24,i,11,b,a
e11oe,895,beginner_obeying_CHAMPION_IO1E,beginner,i18,obeying,b30,champion,i24,i,11,o,e
e11op,896,beginner_obeying_CHAMPION_IO2P,beginner,i18,obeying,b30,champion,i24,i,11,o,p
e11oa,897,beginner_obeying_CHAMPION_IO3A,beginner,i18,obeying,b30,champion,i24,i,11,o,a
e12ae,1153,BRAT_obeying_old_timer_IA1E,brat,i45,obeying,b30,old timer,i9,i,12,a,e
e12ap,1154,BRAT_obeying_old_timer_IA2P,brat,i45,obeying,b30,old timer,i9,i,12,a,p
e12aa,1155,BRAT_obeying_old_timer_IA3A,brat,i45,obeying,b30,old timer,i9,i,12,a,a
e12be,1375,brat_OBEYING_old_timer_IB1E,brat,i45,obeying,b30,old timer,i9,i,12,b,e
e12bp,1376,brat_OBEYING_old_timer_IB2P,brat,i45,obeying,b30,old timer,i9,i,12,b,p
e12ba,1377,brat_OBEYING_old_timer_IB3A,brat,i45,obeying,b30,old timer,i9,i,12,b,a
e12oe,1597,brat_obeying_OLD_TIMER_IO1E,brat,i45,obeying,b30,old timer,i9,i,12,o,e
e12op,1598,brat_obeying_OLD_TIMER_IO2P,brat,i45,obeying,b30,old timer,i9,i,12,o,p
e12oa,1599,brat_obeying_OLD_TIMER_IO3A,brat,i45,obeying,b30,old timer,i9,i,12,o,a
e13be,70,brat_STARING_AT_gossip_IB1E,brat,i45,staring at,b31,gossip,i11,i,13,b,e
e13bp,71,brat_STARING_AT_gossip_IB2P,brat,i45,staring at,b31,gossip,i11,i,13,b,p
e13ba,72,brat_STARING_AT_gossip_IB3A,brat,i45,staring at,b31,gossip,i11,i,13,b,a
e13oe,292,brat_staring_at_GOSSIP_IO1E,brat,i45,staring at,b31,gossip,i11,i,13,o,e
e13op,293,brat_staring_at_GOSSIP_IO2P,brat,i45,staring at,b31,gossip,i11,i,13,o,p
e13oa,294,brat_staring_at_GOSSIP_IO3A,brat,i45,staring at,b31,gossip,i11,i,13,o,a
e13ae,1621,BRAT_staring_at_gossip_IA1E,brat,i45,staring at,b31,gossip,i11,i,13,a,e
e13ap,1622,BRAT_staring_at_gossip_IA2P,brat,i45,staring at,b31,gossip,i11,i,13,a,p
e13aa,1623,BRAT_staring_at_gossip_IA3A,brat,i45,staring at,b31,gossip,i11,i,13,a,a
e14be,61,brat_STARING_AT_old_timer_IB1E,brat,i45,staring at,b31,old timer,i9,i,14,b,e
e14bp,62,brat_STARING_AT_old_timer_IB2P,brat,i45,staring at,b31,old timer,i9,i,14,b,p
e14ba,63,brat_STARING_AT_old_timer_IB3A,brat,i45,staring at,b31,old timer,i9,i,14,b,a
e14oe,283,brat_staring_at_OLD_TIMER_IO1E,brat,i45,staring at,b31,old timer,i9,i,14,o,e
e14op,284,brat_staring_at_OLD_TIMER_IO2P,brat,i45,staring at,b31,old timer,i9,i,14,o,p
e14oa,285,brat_staring_at_OLD_TIMER_IO3A,brat,i45,staring at,b31,old timer,i9,i,14,o,a
e14ae,1612,BRAT_staring_at_old_timer_IA1E,brat,i45,staring at,b31,old timer,i9,i,14,a,e
e14ap,1613,BRAT_staring_at_old_timer_IA2P,brat,i45,staring at,b31,old timer,i9,i,14,a,p
e14aa,1614,BRAT_staring_at_old_timer_IA3A,brat,i45,staring at,b31,old timer,i9,i,14,a,a
e15oe,103,bully_ignoring_YOUNGSTER_IO1E,bully,i27,ignoring,b32,youngster,i32,i,15,o,e
e15op,104,bully_ignoring_YOUNGSTER_IO2P,bully,i27,ignoring,b32,youngster,i32,i,15,o,p
e15oa,105,bully_ignoring_YOUNGSTER_IO3A,bully,i27,ignoring,b32,youngster,i32,i,15,o,a
e15ae,1432,BULLY_ignoring_youngster_IA1E,bully,i27,ignoring,b32,youngster,i32,i,15,a,e
e15ap,1433,BULLY_ignoring_youngster_IA2P,bully,i27,ignoring,b32,youngster,i32,i,15,a,p
e15aa,1434,BULLY_ignoring_youngster_IA3A,bully,i27,ignoring,b32,youngster,i32,i,15,a,a
e15be,1654,bully_IGNORING_youngster_IB1E,bully,i27,ignoring,b32,youngster,i32,i,15,b,e
e15bp,1655,bully_IGNORING_youngster_IB2P,bully,i27,ignoring,b32,youngster,i32,i,15,b,p
e15ba,1656,bully_IGNORING_youngster_IB3A,bully,i27,ignoring,b32,youngster,i32,i,15,b,a
e16ae,82,BULLY_slugging_child_IA1E,bully,i27,slugging,b16,child,i14,i,16,a,e
e16ap,83,BULLY_slugging_child_IA2P,bully,i27,slugging,b16,child,i14,i,16,a,p
e16aa,84,BULLY_slugging_child_IA3A,bully,i27,slugging,b16,child,i14,i,16,a,a
e16be,304,bully_SLUGGING_child_IB1E,bully,i27,slugging,b16,child,i14,i,16,b,e
e16bp,305,bully_SLUGGING_child_IB2P,bully,i27,slugging,b16,child,i14,i,16,b,p
e16ba,306,bully_SLUGGING_child_IB3A,bully,i27,slugging,b16,child,i14,i,16,b,a
e16oe,526,bully_slugging_CHILD_IO1E,bully,i27,slugging,b16,child,i14,i,16,o,e
e16op,527,bully_slugging_CHILD_IO2P,bully,i27,slugging,b16,child,i14,i,16,o,p
e16oa,528,bully_slugging_CHILD_IO3A,bully,i27,slugging,b16,child,i14,i,16,o,a
e17ae,253,CHAMPION_blabbering_to_gossip_IA1E,champion,i24,blabbering to,b4,gossip,i11,i,17,a,e
e17ap,254,CHAMPION_blabbering_to_gossip_IA2P,champion,i24,blabbering to,b4,gossip,i11,i,17,a,p
e17aa,255,CHAMPION_blabbering_to_gossip_IA3A,champion,i24,blabbering to,b4,gossip,i11,i,17,a,a
e17be,475,champion_BLABBERING_TO_gossip_IB1E,champion,i24,blabbering to,b4,gossip,i11,i,17,b,e
e17bp,476,champion_BLABBERING_TO_gossip_IB2P,champion,i24,blabbering to,b4,gossip,i11,i,17,b,p
e17ba,477,champion_BLABBERING_TO_gossip_IB3A,champion,i24,blabbering to,b4,gossip,i11,i,17,b,a
e17oe,697,champion_blabbering_to_GOSSIP_IO1E,champion,i24,blabbering to,b4,gossip,i11,i,17,o,e
e17op,698,champion_blabbering_to_GOSSIP_IO2P,champion,i24,blabbering to,b4,gossip,i11,i,17,o,p
e17oa,699,champion_blabbering_to_GOSSIP_IO3A,champion,i24,blabbering to,b4,gossip,i11,i,17,o,a
e18ae,505,CHATTERBOX_interrupting_teammate_IA1E,chatterbox,i5,interrupting,b13,teammate,i19,i,18,a,e
e18ap,506,CHATTERBOX_interrupting_teammate_IA2P,chatterbox,i5,interrupting,b13,teammate,i19,i,18,a,p
e18aa,507,CHATTERBOX_interrupting_teammate_IA3A,chatterbox,i5,interrupting,b13,teammate,i19,i,18,a,a
e18be,727,chatterbox_INTERRUPTING_teammate_IB1E,chatterbox,i5,interrupting,b13,teammate,i19,i,18,b,e
e18bp,728,chatterbox_INTERRUPTING_teammate_IB2P,chatterbox,i5,interrupting,b13,teammate,i19,i,18,b,p
e18ba,729,chatterbox_INTERRUPTING_teammate_IB3A,chatterbox,i5,interrupting,b13,teammate,i19,i,18,b,a
e18oe,949,chatterbox_interrupting_TEAMMATE_IO1E,chatterbox,i5,interrupting,b13,teammate,i19,i,18,o,e
e18op,950,chatterbox_interrupting_TEAMMATE_IO2P,chatterbox,i5,interrupting,b13,teammate,i19,i,18,o,p
e18oa,951,chatterbox_interrupting_TEAMMATE_IO3A,chatterbox,i5,interrupting,b13,teammate,i19,i,18,o,a
e19be,52,chatterbox_JOKING_WITH_gossip_IB1E,chatterbox,i5,joking with,b1,gossip,i11,i,19,b,e
e19bp,53,chatterbox_JOKING_WITH_gossip_IB2P,chatterbox,i5,joking with,b1,gossip,i11,i,19,b,p
e19ba,54,chatterbox_JOKING_WITH_gossip_IB3A,chatterbox,i5,joking with,b1,gossip,i11,i,19,b,a
e19oe,274,chatterbox_joking_with_GOSSIP_IO1E,chatterbox,i5,joking with,b1,gossip,i11,i,19,o,e
e19op,275,chatterbox_joking_with_GOSSIP_IO2P,chatterbox,i5,joking with,b1,gossip,i11,i,19,o,p
e19oa,276,chatterbox_joking_with_GOSSIP_IO3A,chatterbox,i5,joking with,b1,gossip,i11,i,19,o,a
e19ae,1603,CHATTERBOX_joking_with_gossip_IA1E,chatterbox,i5,joking with,b1,gossip,i11,i,19,a,e
e19ap,1604,CHATTERBOX_joking_with_gossip_IA2P,chatterbox,i5,joking with,b1,gossip,i11,i,19,a,p
e19aa,1605,CHATTERBOX_joking_with_gossip_IA3A,chatterbox,i5,joking with,b1,gossip,i11,i,19,a,a
e20ae,343,CHILD_comforting_deadbeat_dad_IA1E,child,i14,comforting,b14,deadbeat dad,i35,i,20,a,e
e20ap,344,CHILD_comforting_deadbeat_dad_IA2P,child,i14,comforting,b14,deadbeat dad,i35,i,20,a,p
e20aa,345,CHILD_comforting_deadbeat_dad_IA3A,child,i14,comforting,b14,deadbeat dad,i35,i,20,a,a
e20be,565,child_COMFORTING_deadbeat_dad_IB1E,child,i14,comforting,b14,deadbeat dad,i35,i,20,b,e
e20bp,566,child_COMFORTING_deadbeat_dad_IB2P,child,i14,comforting,b14,deadbeat dad,i35,i,20,b,p
e20ba,567,child_COMFORTING_deadbeat_dad_IB3A,child,i14,comforting,b14,deadbeat dad,i35,i,20,b,a
e20oe,787,child_comforting_DEADBEAT_DAD_IO1E,child,i14,comforting,b14,deadbeat dad,i35,i,20,o,e
e20op,788,child_comforting_DEADBEAT_DAD_IO2P,child,i14,comforting,b14,deadbeat dad,i35,i,20,o,p
e20oa,789,child_comforting_DEADBEAT_DAD_IO3A,child,i14,comforting,b14,deadbeat dad,i35,i,20,o,a
e21ae,361,CHILD_deprecating_unemployed_person_IA1E,child,i14,deprecating,b26,unemployed person,i12,i,21,a,e
e21ap,362,CHILD_deprecating_unemployed_person_IA2P,child,i14,deprecating,b26,unemployed person,i12,i,21,a,p
e21aa,363,CHILD_deprecating_unemployed_person_IA3A,child,i14,deprecating,b26,unemployed person,i12,i,21,a,a
e21be,583,child_DEPRECATING_unemployed_person_IB1E,child,i14,deprecating,b26,unemployed person,i12,i,21,b,e
e21bp,584,child_DEPRECATING_unemployed_person_IB2P,child,i14,deprecating,b26,unemployed person,i12,i,21,b,p
e21ba,585,child_DEPRECATING_unemployed_person_IB3A,child,i14,deprecating,b26,unemployed person,i12,i,21,b,a
e21oe,805,child_deprecating_UNEMPLOYED_PERSON_IO1E,child,i14,deprecating,b26,unemployed person,i12,i,21,o,e
e21op,806,child_deprecating_UNEMPLOYED_PERSON_IO2P,child,i14,deprecating,b26,unemployed person,i12,i,21,o,p
e21oa,807,child_deprecating_UNEMPLOYED_PERSON_IO3A,child,i14,deprecating,b26,unemployed person,i12,i,21,o,a
e22ae,127,CHILD_escaping_bully_IA1E,child,i14,escaping,b7,bully,i27,i,22,a,e
e22ap,128,CHILD_escaping_bully_IA2P,child,i14,escaping,b7,bully,i27,i,22,a,p
e22aa,129,CHILD_escaping_bully_IA3A,child,i14,escaping,b7,bully,i27,i,22,a,a
e22be,349,child_ESCAPING_bully_IB1E,child,i14,escaping,b7,bully,i27,i,22,b,e
e22bp,350,child_ESCAPING_bully_IB2P,child,i14,escaping,b7,bully,i27,i,22,b,p
e22ba,351,child_ESCAPING_bully_IB3A,child,i14,escaping,b7,bully,i27,i,22,b,a
e22oe,571,child_escaping_BULLY_IO1E,child,i14,escaping,b7,bully,i27,i,22,o,e
e22op,572,child_escaping_BULLY_IO2P,child,i14,escaping,b7,bully,i27,i,22,o,p
e22oa,573,child_escaping_BULLY_IO3A,child,i14,escaping,b7,bully,i27,i,22,o,a
e23ae,802,CHILD_jesting_with_unemployed_person_IA1E,child,i14,jesting with,b11,unemployed person,i12,i,23,a,e
e23ap,803,CHILD_jesting_with_unemployed_person_IA2P,child,i14,jesting with,b11,unemployed person,i12,i,23,a,p
e23aa,804,CHILD_jesting_with_unemployed_person_IA3A,child,i14,jesting with,b11,unemployed person,i12,i,23,a,a
e23be,1024,child_JESTING_WITH_unemployed_person_IB1E,child,i14,jesting with,b11,unemployed person,i12,i,23,b,e
e23bp,1025,child_JESTING_WITH_unemployed_person_IB2P,child,i14,jesting with,b11,unemployed person,i12,i,23,b,p
e23ba,1026,child_JESTING_WITH_unemployed_person_IB3A,child,i14,jesting with,b11,unemployed person,i12,i,23,b,a
e23oe,1246,child_jesting_with_UNEMPLOYED_PERSON_IO1E,child,i14,jesting with,b11,unemployed person,i12,i,23,o,e
e23op,1247,child_jesting_with_UNEMPLOYED_PERSON_IO2P,child,i14,jesting with,b11,unemployed person,i12,i,23,o,p
e23oa,1248,child_jesting_with_UNEMPLOYED_PERSON_IO3A,child,i14,jesting with,b11,unemployed person,i12,i,23,o,a
e24ae,334,CHILD_snuggling_grandparent_IA1E,child,i14,snuggling,b29,grandparent,i31,i,24,a,e
e24ap,335,CHILD_snuggling_grandparent_IA2P,child,i14,snuggling,b29,grandparent,i31,i,24,a,p
e24aa,336,CHILD_snuggling_grandparent_IA3A,child,i14,snuggling,b29,grandparent,i31,i,24,a,a
e24be,556,child_SNUGGLING_grandparent_IB1E,child,i14,snuggling,b29,grandparent,i31,i,24,b,e
e24bp,557,child_SNUGGLING_grandparent_IB2P,child,i14,snuggling,b29,grandparent,i31,i,24,b,p
e24ba,558,child_SNUGGLING_grandparent_IB3A,child,i14,snuggling,b29,grandparent,i31,i,24,b,a
e24oe,778,child_snuggling_GRANDPARENT_IO1E,child,i14,snuggling,b29,grandparent,i31,i,24,o,e
e24op,779,child_snuggling_GRANDPARENT_IO2P,child,i14,snuggling,b29,grandparent,i31,i,24,o,p
e24oa,780,child_snuggling_GRANDPARENT_IO3A,child,i14,snuggling,b29,grandparent,i31,i,24,o,a
e25ae,352,CHILD_submitting_to_grandfather_IA1E,child,i14,submitting to,b5,grandfather,i41,i,25,a,e
e25ap,353,CHILD_submitting_to_grandfather_IA2P,child,i14,submitting to,b5,grandfather,i41,i,25,a,p
e25aa,354,CHILD_submitting_to_grandfather_IA3A,child,i14,submitting to,b5,grandfather,i41,i,25,a,a
e25be,574,child_SUBMITTING_TO_grandfather_IB1E,child,i14,submitting to,b5,grandfather,i41,i,25,b,e
e25bp,575,child_SUBMITTING_TO_grandfather_IB2P,child,i14,submitting to,b5,grandfather,i41,i,25,b,p
e25ba,576,child_SUBMITTING_TO_grandfather_IB3A,child,i14,submitting to,b5,grandfather,i41,i,25,b,a
e25oe,796,child_submitting_to_GRANDFATHER_IO1E,child,i14,submitting to,b5,grandfather,i41,i,25,o,e
