Variable Name,Original Order,Event Wording,Actor,A#,Behavior,B#,Object,O#,Impression (I) or Sentiment (S)?,Event Number,A/B/O/I Rated?,E/P/A Rated?
e27bp,1466,deadbeat_dad_IGNORING_physician_IB2P,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,b,p
e27ba,1467,deadbeat_dad_IGNORING_physician_IB3A,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,b,a
e27oe,1687,deadbeat_dad_ignoring_PHYSICIAN_IO1E,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,o,e
e27op,1688,deadbeat_dad_ignoring_PHYSICIAN_IO2P,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,o,p
e27oa,1689,deadbeat_dad_ignoring_PHYSICIAN_IO3A,deadbeat dad,i35,ignoring,b32,physician,i42,i,27,o,a
e28ae,1027,DEADBEAT_DAD_lusting_for_teenager_IA1E,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,a,e
e28ap,1028,DEADBEAT_DAD_lusting_for_teenager_IA2P,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,a,p
e28aa,1029,DEADBEAT_DAD_lusting_for_teenager_IA3A,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,a,a
e28be,1249,deadbeat_dad_LUSTING_FOR_teenager_IB1E,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,b,e
e28bp,1250,deadbeat_dad_LUSTING_FOR_teenager_IB2P,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,b,p
e28ba,1251,deadbeat_dad_LUSTING_FOR_teenager_IB3A,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,b,a
e28oe,1471,deadbeat_dad_lusting_for_TEENAGER_IO1E,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,o,e
e28op,1472,deadbeat_dad_lusting_for_TEENAGER_IO2P,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,o,p
e28oa,1473,deadbeat_dad_lusting_for_TEENAGER_IO3A,deadbeat dad,i35,lusting for,b15,teenager,i20,i,28,o,a
e29ae,1009,DEADBEAT_DAD_scolding_toddler_IA1E,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,a,e
e29ap,1010,DEADBEAT_DAD_scolding_toddler_IA2P,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,a,p
e29aa,1011,DEADBEAT_DAD_scolding_toddler_IA3A,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,a,a
e29be,1231,deadbeat_dad_SCOLDING_toddler_IB1E,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,b,e
e29bp,1232,deadbeat_dad_SCOLDING_toddler_IB2P,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,b,p
e29ba,1233,deadbeat_dad_SCOLDING_toddler_IB3A,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,b,a
e29oe,1453,deadbeat_dad_scolding_TODDLER_IO1E,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,o,e
e29op,1454,deadbeat_dad_scolding_TODDLER_IO2P,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,o,p
e29oa,1455,deadbeat_dad_scolding_TODDLER_IO3A,deadbeat dad,i35,scolding,b12,toddler,i26,i,29,o,a
e30ae,289,DIVORCÉ_blabbering_to_gossip_IA1E,divorcé,i16,blabbering to,b4,gossip,i11,i,30,a,e
e30ap,290,DIVORCÉ_blabbering_to_gossip_IA2P,divorcé,i16,blabbering to,b4,gossip,i11,i,30,a,p
e30aa,291,DIVORCÉ_blabbering_to_gossip_IA3A,divorcé,i16,blabbering to,b4,gossip,i11,i,30,a,a
e30be,511,divorcé_BLABBERING_TO_gossip_IB1E,divorcé,i16,blabbering to,b4,gossip,i11,i,30,b,e
e30bp,512,divorcé_BLABBERING_TO_gossip_IB2P,divorcé,i16,blabbering to,b4,gossip,i11,i,30,b,p
e30ba,513,divorcé_BLABBERING_TO_gossip_IB3A,divorcé,i16,blabbering to,b4,gossip,i11,i,30,b,a
e30oe,733,divorcé_blabbering_to_GOSSIP_IO1E,divorcé,i16,blabbering to,b4,gossip,i11,i,30,o,e
e30op,734,divorcé_blabbering_to_GOSSIP_IO2P,divorcé,i16,blabbering to,b4,gossip,i11,i,30,o,p
e30oa,735,divorcé_blabbering_to_GOSSIP_IO3A,divorcé,i16,blabbering to,b4,gossip,i11,i,30,o,a
e31ae,730,DIVORCÉ_confining_brat_IA1E,divorcé,i16,confining,b20,brat,i45,i,31,a,e
e31ap,731,DIVORCÉ_confining_brat_IA2P,divorcé,i16,confining,b20,brat,i45,i,31,a,p
e31aa,732,DIVORCÉ_confining_brat_IA3A,divorcé,i16,confining,b20,brat,i45,i,31,a,a
e31be,952,divorcé_CONFINING_brat_IB1E,divorcé,i16,confining,b20,brat,i45,i,31,b,e
e31bp,953,divorcé_CONFINING_brat_IB2P,divorcé,i16,confining,b20,brat,i45,i,31,b,p
e31ba,954,divorcé_CONFINING_brat_IB3A,divorcé,i16,confining,b20,brat,i45,i,31,b,a
e31oe,1174,divorcé_confining_BRAT_IO1E,divorcé,i16,confining,b20,brat,i45,i,31,o,e
e31op,1175,divorcé_confining_BRAT_IO2P,divorcé,i16,confining,b20,brat,i45,i,31,o,p
e31oa,1176,divorcé_confining_BRAT_IO3A,divorcé,i16,confining,b20,brat,i45,i,31,o,a
e32be,124,do_nothing_CHEWING_OUT_unemployed_person_IB1E,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,b,e
e32bp,125,do_nothing_CHEWING_OUT_unemployed_person_IB2P,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,b,p
e32ba,126,do_nothing_CHEWING_OUT_unemployed_person_IB3A,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,b,a
e32oe,346,do_nothing_chewing_out_UNEMPLOYED_PERSON_IO1E,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,o,e
e32op,347,do_nothing_chewing_out_UNEMPLOYED_PERSON_IO2P,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,o,p
e32oa,348,do_nothing_chewing_out_UNEMPLOYED_PERSON_IO3A,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,o,a
e32ae,1675,DO_NOTHING_chewing_out_unemployed_person_IA1E,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,a,e
e32ap,1676,DO_NOTHING_chewing_out_unemployed_person_IA2P,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,a,p
e32aa,1677,DO_NOTHING_chewing_out_unemployed_person_IA3A,do nothing,i40,chewing out,b8,unemployed person,i12,i,32,a,a
e33be,142,do_nothing_JESTING_WITH_dropout_IB1E,do nothing,i40,jesting with,b11,dropout,i46,i,33,b,e
e33bp,143,do_nothing_JESTING_WITH_dropout_IB2P,do nothing,i40,jesting with,b11,dropout,i46,i,33,b,p
e33ba,144,do_nothing_JESTING_WITH_dropout_IB3A,do nothing,i40,jesting with,b11,dropout,i46,i,33,b,a
e33oe,364,do_nothing_jesting_with_DROPOUT_IO1E,do nothing,i40,jesting with,b11,dropout,i46,i,33,o,e
e33op,365,do_nothing_jesting_with_DROPOUT_IO2P,do nothing,i40,jesting with,b11,dropout,i46,i,33,o,p
e33oa,366,do_nothing_jesting_with_DROPOUT_IO3A,do nothing,i40,jesting with,b11,dropout,i46,i,33,o,a
e33ae,1693,DO_NOTHING_jesting_with_dropout_IA1E,do nothing,i40,jesting with,b11,dropout,i46,i,33,a,e
e33ap,1694,DO_NOTHING_jesting_with_dropout_IA2P,do nothing,i40,jesting with,b11,dropout,i46,i,33,a,p
e33aa,1695,DO_NOTHING_jesting_with_dropout_IA3A,do nothing,i40,jesting with,b11,dropout,i46,i,33,a,a
e34ae,1000,DO_NOTHING_scolding_bully_IA1E,do nothing,i40,scolding,b12,bully,i27,i,34,a,e
e34ap,1001,DO_NOTHING_scolding_bully_IA2P,do nothing,i40,scolding,b12,bully,i27,i,34,a,p
e34aa,1002,DO_NOTHING_scolding_bully_IA3A,do nothing,i40,scolding,b12,bully,i27,i,34,a,a
e34be,1222,do_nothing_SCOLDING_bully_IB1E,do nothing,i40,scolding,b12,bully,i27,i,34,b,e
e34bp,1223,do_nothing_SCOLDING_bully_IB2P,do nothing,i40,scolding,b12,bully,i27,i,34,b,p
e34ba,1224,do_nothing_SCOLDING_bully_IB3A,do nothing,i40,scolding,b12,bully,i27,i,34,b,a
e34oe,1444,do_nothing_scolding_BULLY_IO1E,do nothing,i40,scolding,b12,bully,i27,i,34,o,e
e34op,1445,do_nothing_scolding_BULLY_IO2P,do nothing,i40,scolding,b12,bully,i27,i,34,o,p
e34oa,1446,do_nothing_scolding_BULLY_IO3A,do nothing,i40,scolding,b12,bully,i27,i,34,o,a
e35ae,568,DO_NOTHING_soothing_genius_IA1E,do nothing,i40,soothing,b34,genius,i25,i,35,a,e
e35ap,569,DO_NOTHING_soothing_genius_IA2P,do nothing,i40,soothing,b34,genius,i25,i,35,a,p
e35aa,570,DO_NOTHING_soothing_genius_IA3A,do nothing,i40,soothing,b34,genius,i25,i,35,a,a
e35be,790,do_nothing_SOOTHING_genius_IB1E,do nothing,i40,soothing,b34,genius,i25,i,35,b,e
e35bp,791,do_nothing_SOOTHING_genius_IB2P,do nothing,i40,soothing,b34,genius,i25,i,35,b,p
e35ba,792,do_nothing_SOOTHING_genius_IB3A,do nothing,i40,soothing,b34,genius,i25,i,35,b,a
e35oe,1012,do_nothing_soothing_GENIUS_IO1E,do nothing,i40,soothing,b34,genius,i25,i,35,o,e
e35op,1013,do_nothing_soothing_GENIUS_IO2P,do nothing,i40,soothing,b34,genius,i25,i,35,o,p
e35oa,1014,do_nothing_soothing_GENIUS_IO3A,do nothing,i40,soothing,b34,genius,i25,i,35,o,a
e36ae,1225,DROPOUT_comforting_genius_IA1E,dropout,i46,comforting,b14,genius,i25,i,36,a,e
e36ap,1226,DROPOUT_comforting_genius_IA2P,dropout,i46,comforting,b14,genius,i25,i,36,a,p
e36aa,1227,DROPOUT_comforting_genius_IA3A,dropout,i46,comforting,b14,genius,i25,i,36,a,a
e36be,1447,dropout_COMFORTING_genius_IB1E,dropout,i46,comforting,b14,genius,i25,i,36,b,e
e36bp,1448,dropout_COMFORTING_genius_IB2P,dropout,i46,comforting,b14,genius,i25,i,36,b,p
e36ba,1449,dropout_COMFORTING_genius_IB3A,dropout,i46,comforting,b14,genius,i25,i,36,b,a
e36oe,1669,dropout_comforting_GENIUS_IO1E,dropout,i46,comforting,b14,genius,i25,i,36,o,e
e36op,1670,dropout_comforting_GENIUS_IO2P,dropout,i46,comforting,b14,genius,i25,i,36,o,p
e36oa,1671,dropout_comforting_GENIUS_IO3A,dropout,i46,comforting,b14,genius,i25,i,36,o,a
e37oe,40,enemy_following_HEROINE_IO1E,enemy,i22,following,b24,heroine,i13,i,37,o,e
e37op,41,enemy_following_HEROINE_IO2P,enemy,i22,following,b24,heroine,i13,i,37,o,p
e37oa,42,enemy_following_HEROINE_IO3A,enemy,i22,following,b24,heroine,i13,i,37,o,a
e37ae,1369,ENEMY_following_heroine_IA1E,enemy,i22,following,b24,heroine,i13,i,37,a,e
e37ap,1370,ENEMY_following_heroine_IA2P,enemy,i22,following,b24,heroine,i13,i,37,a,p
e37aa,1371,ENEMY_following_heroine_IA3A,enemy,i22,following,b24,heroine,i13,i,37,a,a
e37be,1591,enemy_FOLLOWING_heroine_IB1E,enemy,i22,following,b24,heroine,i13,i,37,b,e
e37bp,1592,enemy_FOLLOWING_heroine_IB2P,enemy,i22,following,b24,heroine,i13,i,37,b,p
e37ba,1593,enemy_FOLLOWING_heroine_IB3A,enemy,i22,following,b24,heroine,i13,i,37,b,a
e38ae,55,ENEMY_monitoring_athlete_IA1E,enemy,i22,monitoring,b25,athlete,i1,i,38,a,e
e38ap,56,ENEMY_monitoring_athlete_IA2P,enemy,i22,monitoring,b25,athlete,i1,i,38,a,p
e38aa,57,ENEMY_monitoring_athlete_IA3A,enemy,i22,monitoring,b25,athlete,i1,i,38,a,a
e38be,277,enemy_MONITORING_athlete_IB1E,enemy,i22,monitoring,b25,athlete,i1,i,38,b,e
e38bp,278,enemy_MONITORING_athlete_IB2P,enemy,i22,monitoring,b25,athlete,i1,i,38,b,p
e38ba,279,enemy_MONITORING_athlete_IB3A,enemy,i22,monitoring,b25,athlete,i1,i,38,b,a
e38oe,499,enemy_monitoring_ATHLETE_IO1E,enemy,i22,monitoring,b25,athlete,i1,i,38,o,e
e38op,500,enemy_monitoring_ATHLETE_IO2P,enemy,i22,monitoring,b25,athlete,i1,i,38,o,p
e38oa,501,enemy_monitoring_ATHLETE_IO3A,enemy,i22,monitoring,b25,athlete,i1,i,38,o,a
e39oe,58,executioner_fussing_over_HEROINE_IO1E,executioner,i28,fussing over,b9,heroine,i13,i,39,o,e
e39op,59,executioner_fussing_over_HEROINE_IO2P,executioner,i28,fussing over,b9,heroine,i13,i,39,o,p
e39oa,60,executioner_fussing_over_HEROINE_IO3A,executioner,i28,fussing over,b9,heroine,i13,i,39,o,a
e39ae,1387,EXECUTIONER_fussing_over_heroine_IA1E,executioner,i28,fussing over,b9,heroine,i13,i,39,a,e
e39ap,1388,EXECUTIONER_fussing_over_heroine_IA2P,executioner,i28,fussing over,b9,heroine,i13,i,39,a,p
e39aa,1389,EXECUTIONER_fussing_over_heroine_IA3A,executioner,i28,fussing over,b9,heroine,i13,i,39,a,a
e39be,1609,executioner_FUSSING_OVER_heroine_IB1E,executioner,i28,fussing over,b9,heroine,i13,i,39,b,e
e39bp,1610,executioner_FUSSING_OVER_heroine_IB2P,executioner,i28,fussing over,b9,heroine,i13,i,39,b,p
e39ba,1611,executioner_FUSSING_OVER_heroine_IB3A,executioner,i28,fussing over,b9,heroine,i13,i,39,b,a
e40ae,46,EXECUTIONER_joking_with_serial_murderer_IA1E,executioner,i28,joking with,b1,serial murderer,i39,i,40,a,e
e40ap,47,EXECUTIONER_joking_with_serial_murderer_IA2P,executioner,i28,joking with,b1,serial murderer,i39,i,40,a,p
e40aa,48,EXECUTIONER_joking_with_serial_murderer_IA3A,executioner,i28,joking with,b1,serial murderer,i39,i,40,a,a
e40be,268,executioner_JOKING_WITH_serial_murderer_IB1E,executioner,i28,joking with,b1,serial murderer,i39,i,40,b,e
e40bp,269,executioner_JOKING_WITH_serial_murderer_IB2P,executioner,i28,joking with,b1,serial murderer,i39,i,40,b,p
e40ba,270,executioner_JOKING_WITH_serial_murderer_IB3A,executioner,i28,joking with,b1,serial murderer,i39,i,40,b,a
e40oe,490,executioner_joking_with_SERIAL_MURDERER_IO1E,executioner,i28,joking with,b1,serial murderer,i39,i,40,o,e
e40op,491,executioner_joking_with_SERIAL_MURDERER_IO2P,executioner,i28,joking with,b1,serial murderer,i39,i,40,o,p
e40oa,492,executioner_joking_with_SERIAL_MURDERER_IO3A,executioner,i28,joking with,b1,serial murderer,i39,i,40,o,a
e41ae,37,EXECUTIONER_laughing_with_registered_nurse_IA1E,executioner,i28,laughing with,b6,registered nurse,i7,i,41,a,e
e41ap,38,EXECUTIONER_laughing_with_registered_nurse_IA2P,executioner,i28,laughing with,b6,registered nurse,i7,i,41,a,p
e41aa,39,EXECUTIONER_laughing_with_registered_nurse_IA3A,executioner,i28,laughing with,b6,registered nurse,i7,i,41,a,a
e41be,259,executioner_LAUGHING_WITH_registered_nurse_IB1E,executioner,i28,laughing with,b6,registered nurse,i7,i,41,b,e
e41bp,260,executioner_LAUGHING_WITH_registered_nurse_IB2P,executioner,i28,laughing with,b6,registered nurse,i7,i,41,b,p
e41ba,261,executioner_LAUGHING_WITH_registered_nurse_IB3A,executioner,i28,laughing with,b6,registered nurse,i7,i,41,b,a
e41oe,481,executioner_laughing_with_REGISTERED_NURSE_IO1E,executioner,i28,laughing with,b6,registered nurse,i7,i,41,o,e
e41op,482,executioner_laughing_with_REGISTERED_NURSE_IO2P,executioner,i28,laughing with,b6,registered nurse,i7,i,41,o,p
e41oa,483,executioner_laughing_with_REGISTERED_NURSE_IO3A,executioner,i28,laughing with,b6,registered nurse,i7,i,41,o,a
e42ae,739,GANGSTER_chewing_out_priest_IA1E,gangster,i33,chewing out,b8,priest,i2,i,42,a,e
e42ap,740,GANGSTER_chewing_out_priest_IA2P,gangster,i33,chewing out,b8,priest,i2,i,42,a,p
e42aa,741,GANGSTER_chewing_out_priest_IA3A,gangster,i33,chewing out,b8,priest,i2,i,42,a,a
e42be,961,gangster_CHEWING_OUT_priest_IB1E,gangster,i33,chewing out,b8,priest,i2,i,42,b,e
e42bp,962,gangster_CHEWING_OUT_priest_IB2P,gangster,i33,chewing out,b8,priest,i2,i,42,b,p
e42ba,963,gangster_CHEWING_OUT_priest_IB3A,gangster,i33,chewing out,b8,priest,i2,i,42,b,a
e42oe,1183,gangster_chewing_out_PRIEST_IO1E,gangster,i33,chewing out,b8,priest,i2,i,42,o,e
e42op,1184,gangster_chewing_out_PRIEST_IO2P,gangster,i33,chewing out,b8,priest,i2,i,42,o,p
e42oa,1185,gangster_chewing_out_PRIEST_IO3A,gangster,i33,chewing out,b8,priest,i2,i,42,o,a
e43oe,76,gangster_comforting_GUNMAN_IO1E,gangster,i33,comforting,b14,gunman,i38,i,43,o,e
e43op,77,gangster_comforting_GUNMAN_IO2P,gangster,i33,comforting,b14,gunman,i38,i,43,o,p
e43oa,78,gangster_comforting_GUNMAN_IO3A,gangster,i33,comforting,b14,gunman,i38,i,43,o,a
e43ae,1405,GANGSTER_comforting_gunman_IA1E,gangster,i33,comforting,b14,gunman,i38,i,43,a,e
e43ap,1406,GANGSTER_comforting_gunman_IA2P,gangster,i33,comforting,b14,gunman,i38,i,43,a,p
e43aa,1407,GANGSTER_comforting_gunman_IA3A,gangster,i33,comforting,b14,gunman,i38,i,43,a,a
e43be,1627,gangster_COMFORTING_gunman_IB1E,gangster,i33,comforting,b14,gunman,i38,i,43,b,e
e43bp,1628,gangster_COMFORTING_gunman_IB2P,gangster,i33,comforting,b14,gunman,i38,i,43,b,p
e43ba,1629,gangster_COMFORTING_gunman_IB3A,gangster,i33,comforting,b14,gunman,i38,i,43,b,a
e44ae,325,GANGSTER_deprecating_gunman_IA1E,gangster,i33,deprecating,b26,gunman,i38,i,44,a,e
e44ap,326,GANGSTER_deprecating_gunman_IA2P,gangster,i33,deprecating,b26,gunman,i38,i,44,a,p
e44aa,327,GANGSTER_deprecating_gunman_IA3A,gangster,i33,deprecating,b26,gunman,i38,i,44,a,a
e44be,547,gangster_DEPRECATING_gunman_IB1E,gangster,i33,deprecating,b26,gunman,i38,i,44,b,e
e44bp,548,gangster_DEPRECATING_gunman_IB2P,gangster,i33,deprecating,b26,gunman,i38,i,44,b,p
e44ba,549,gangster_DEPRECATING_gunman_IB3A,gangster,i33,deprecating,b26,gunman,i38,i,44,b,a
e44oe,769,gangster_deprecating_GUNMAN_IO1E,gangster,i33,deprecating,b26,gunman,i38,i,44,o,e
e44op,770,gangster_deprecating_GUNMAN_IO2P,gangster,i33,deprecating,b26,gunman,i38,i,44,o,p
e44oa,771,gangster_deprecating_GUNMAN_IO3A,gangster,i33,deprecating,b26,gunman,i38,i,44,o,a
e45ae,298,GANGSTER_praying_with_priest_IA1E,gangster,i33,praying with,b23,priest,i2,i,45,a,e
e45ap,299,GANGSTER_praying_with_priest_IA2P,gangster,i33,praying with,b23,priest,i2,i,45,a,p
e45aa,300,GANGSTER_praying_with_priest_IA3A,gangster,i33,praying with,b23,priest,i2,i,45,a,a
e45be,520,gangster_PRAYING_WITH_priest_IB1E,gangster,i33,praying with,b23,priest,i2,i,45,b,e
e45bp,521,gangster_PRAYING_WITH_priest_IB2P,gangster,i33,praying with,b23,priest,i2,i,45,b,p
e45ba,522,gangster_PRAYING_WITH_priest_IB3A,gangster,i33,praying with,b23,priest,i2,i,45,b,a
e45oe,742,gangster_praying_with_PRIEST_IO1E,gangster,i33,praying with,b23,priest,i2,i,45,o,e
e45op,743,gangster_praying_with_PRIEST_IO2P,gangster,i33,praying with,b23,priest,i2,i,45,o,p
e45oa,744,gangster_praying_with_PRIEST_IO3A,gangster,i33,praying with,b23,priest,i2,i,45,o,a
e46ae,316,GANGSTER_scoffing_at_priest_IA1E,gangster,i33,scoffing at,b37,priest,i2,i,46,a,e
e46ap,317,GANGSTER_scoffing_at_priest_IA2P,gangster,i33,scoffing at,b37,priest,i2,i,46,a,p
e46aa,318,GANGSTER_scoffing_at_priest_IA3A,gangster,i33,scoffing at,b37,priest,i2,i,46,a,a
e46be,538,gangster_SCOFFING_AT_priest_IB1E,gangster,i33,scoffing at,b37,priest,i2,i,46,b,e
e46bp,539,gangster_SCOFFING_AT_priest_IB2P,gangster,i33,scoffing at,b37,priest,i2,i,46,b,p
e46ba,540,gangster_SCOFFING_AT_priest_IB3A,gangster,i33,scoffing at,b37,priest,i2,i,46,b,a
e46oe,760,gangster_scoffing_at_PRIEST_IO1E,gangster,i33,scoffing at,b37,priest,i2,i,46,o,e
e46op,761,gangster_scoffing_at_PRIEST_IO2P,gangster,i33,scoffing at,b37,priest,i2,i,46,o,p
e46oa,762,gangster_scoffing_at_PRIEST_IO3A,gangster,i33,scoffing at,b37,priest,i2,i,46,o,a
e47be,79,genius_CHEWING_OUT_scientist_IB1E,genius,i25,chewing out,b8,scientist,i8,i,47,b,e
e47bp,80,genius_CHEWING_OUT_scientist_IB2P,genius,i25,chewing out,b8,scientist,i8,i,47,b,p
e47ba,81,genius_CHEWING_OUT_scientist_IB3A,genius,i25,chewing out,b8,scientist,i8,i,47,b,a
e47oe,301,genius_chewing_out_SCIENTIST_IO1E,genius,i25,chewing out,b8,scientist,i8,i,47,o,e
e47op,302,genius_chewing_out_SCIENTIST_IO2P,genius,i25,chewing out,b8,scientist,i8,i,47,o,p
e47oa,303,genius_chewing_out_SCIENTIST_IO3A,genius,i25,chewing out,b8,scientist,i8,i,47,o,a
e47ae,1630,GENIUS_chewing_out_scientist_IA1E,genius,i25,chewing out,b8,scientist,i8,i,47,a,e
e47ap,1631,GENIUS_chewing_out_scientist_IA2P,genius,i25,chewing out,b8,scientist,i8,i,47,a,p
e47aa,1632,GENIUS_chewing_out_scientist_IA3A,genius,i25,chewing out,b8,scientist,i8,i,47,a,a
e48ae,550,GENIUS_scoffing_at_youngster_IA1E,genius,i25,scoffing at,b37,youngster,i32,i,48,a,e
e48ap,551,GENIUS_scoffing_at_youngster_IA2P,genius,i25,scoffing at,b37,youngster,i32,i,48,a,p
e48aa,552,GENIUS_scoffing_at_youngster_IA3A,genius,i25,scoffing at,b37,youngster,i32,i,48,a,a
e48be,772,genius_SCOFFING_AT_youngster_IB1E,genius,i25,scoffing at,b37,youngster,i32,i,48,b,e
e48bp,773,genius_SCOFFING_AT_youngster_IB2P,genius,i25,scoffing at,b37,youngster,i32,i,48,b,p
e48ba,774,genius_SCOFFING_AT_youngster_IB3A,genius,i25,scoffing at,b37,youngster,i32,i,48,b,a
e48oe,994,genius_scoffing_at_YOUNGSTER_IO1E,genius,i25,scoffing at,b37,youngster,i32,i,48,o,e
e48op,995,genius_scoffing_at_YOUNGSTER_IO2P,genius,i25,scoffing at,b37,youngster,i32,i,48,o,p
e48oa,996,genius_scoffing_at_YOUNGSTER_IO3A,genius,i25,scoffing at,b37,youngster,i32,i,48,o,a
e49ae,928,GOSSIP_entertaining_athlete_IA1E,gossip,i11,entertaining,b33,athlete,i1,i,49,a,e
e49ap,929,GOSSIP_entertaining_athlete_IA2P,gossip,i11,entertaining,b33,athlete,i1,i,49,a,p
e49aa,930,GOSSIP_entertaining_athlete_IA3A,gossip,i11,entertaining,b33,athlete,i1,i,49,a,a
e49be,1150,gossip_ENTERTAINING_athlete_IB1E,gossip,i11,entertaining,b33,athlete,i1,i,49,b,e
e49bp,1151,gossip_ENTERTAINING_athlete_IB2P,gossip,i11,entertaining,b33,athlete,i1,i,49,b,p
e49ba,1152,gossip_ENTERTAINING_athlete_IB3A,gossip,i11,entertaining,b33,athlete,i1,i,49,b,a
e49oe,1372,gossip_entertaining_ATHLETE_IO1E,gossip,i11,entertaining,b33,athlete,i1,i,49,o,e
e49op,1373,gossip_entertaining_ATHLETE_IO2P,gossip,i11,entertaining,b33,athlete,i1,i,49,o,p
e49oa,1374,gossip_entertaining_ATHLETE_IO3A,gossip,i11,entertaining,b33,athlete,i1,i,49,o,a
e50ae,514,GOSSIP_interrupting_divorcé_IA1E,gossip,i11,interrupting,b13,divorcé,i16,i,50,a,e
e50ap,515,GOSSIP_interrupting_divorcé_IA2P,gossip,i11,interrupting,b13,divorcé,i16,i,50,a,p
e50aa,516,GOSSIP_interrupting_divorcé_IA3A,gossip,i11,interrupting,b13,divorcé,i16,i,50,a,a
e50be,736,gossip_INTERRUPTING_divorcé_IB1E,gossip,i11,interrupting,b13,divorcé,i16,i,50,b,e
e50bp,737,gossip_INTERRUPTING_divorcé_IB2P,gossip,i11,interrupting,b13,divorcé,i16,i,50,b,p
e50ba,738,gossip_INTERRUPTING_divorcé_IB3A,gossip,i11,interrupting,b13,divorcé,i16,i,50,b,a
e50oe,958,gossip_interrupting_DIVORCÉ_IO1E,gossip,i11,interrupting,b13,divorcé,i16,i,50,o,e
e50op,959,gossip_interrupting_DIVORCÉ_IO2P,gossip,i11,interrupting,b13,divorcé,i16,i,50,o,p
e50oa,960,gossip_interrupting_DIVORCÉ_IO3A,gossip,i11,interrupting,b13,divorcé,i16,i,50,o,a
e51be,88,grandparent_CHEWING_OUT_deadbeat_dad_IB1E,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,b,e
e51bp,89,grandparent_CHEWING_OUT_deadbeat_dad_IB2P,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,b,p
e51ba,90,grandparent_CHEWING_OUT_deadbeat_dad_IB3A,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,b,a
e51oe,310,grandparent_chewing_out_DEADBEAT_DAD_IO1E,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,o,e
e51op,311,grandparent_chewing_out_DEADBEAT_DAD_IO2P,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,o,p
e51oa,312,grandparent_chewing_out_DEADBEAT_DAD_IO3A,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,o,a
e51ae,1639,GRANDPARENT_chewing_out_deadbeat_dad_IA1E,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,a,e
e51ap,1640,GRANDPARENT_chewing_out_deadbeat_dad_IA2P,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,a,p
e51aa,1641,GRANDPARENT_chewing_out_deadbeat_dad_IA3A,grandparent,i31,chewing out,b8,deadbeat dad,i35,i,51,a,a
e52ae,541,GRANDPARENT_deprecating_bully_IA1E,grandparent,i31,deprecating,b26,bully,i27,i,52,a,e
e52ap,542,GRANDPARENT_deprecating_bully_IA2P,grandparent,i31,deprecating,b26,bully,i27,i,52,a,p
e52aa,543,GRANDPARENT_deprecating_bully_IA3A,grandparent,i31,deprecating,b26,bully,i27,i,52,a,a
e52be,763,grandparent_DEPRECATING_bully_IB1E,grandparent,i31,deprecating,b26,bully,i27,i,52,b,e
e52bp,764,grandparent_DEPRECATING_bully_IB2P,grandparent,i31,deprecating,b26,bully,i27,i,52,b,p
e52ba,765,grandparent_DEPRECATING_bully_IB3A,grandparent,i31,deprecating,b26,bully,i27,i,52,b,a
e52oe,985,grandparent_deprecating_BULLY_IO1E,grandparent,i31,deprecating,b26,bully,i27,i,52,o,e
e52op,986,grandparent_deprecating_BULLY_IO2P,grandparent,i31,deprecating,b26,bully,i27,i,52,o,p
e52oa,987,grandparent_deprecating_BULLY_IO3A,grandparent,i31,deprecating,b26,bully,i27,i,52,o,a
e53ae,982,GRANDPARENT_escaping_gunman_IA1E,grandparent,i31,escaping,b7,gunman,i38,i,53,a,e
