"pnum","age","female","ethnic","cauc","afamer","amerind","hawaii","asian","nonnative","year","marstat","momeduc","dadeduc","momjob","dadjob","ownhome","ownhome2","ownbus","spg1a1","spg1a2","spg1b","spg2a1","spg2a2","spg2b","spg3a1","spg3a2","spg3b","spg4a1","spg4a2","spg4b","spg5a1","spg5a2","spg5b","spg6a1","spg6a2","spg6b","spg7a1","spg7a2","spg7b","spg8a1","spg8a2","spg8b","spg9a1","spg9a2","spg9b","spg10a1","spg10a2","spg10b","spg11a1","spg11a2","spg11b","spg12a1","spg12a2","spg12b","spg13a1","spg13a2","spg13b","spg14a1","spg14a2","spg14b","spg15a1","spg15a2","spg15b","spg16a1","spg16a2","spg16b","spg17a1","spg17a2","spg17b","spg18a1","spg18a2","spg18b","spg19a1","spg19a2","spg19b","spg20a1","spg20a2","spg20b","spg21a1","spg21a2","spg21b","spg22a1","spg22a2","spg22b","spg23a1","spg23a2","spg23b","spg24a1","spg24a2","spg24b","spg25a1","spg25a2","spg25b","spg26a1","spg26a2","spg26b","spg27a1","spg27a2","spg27b","spg28a1","spg28a2","spg28b","spg29a1","spg29a2","spg29b","spg30a1","spg30a2","spg30b","spg31a1","spg31a2","spg31b","spg32a1","spg32a2","spg32b","spg33a1","spg33a2","spg33b","spg34a1","spg34a2","spg34b","spg35a1","spg35a2","spg35b","spg36a1","spg36a2","spg36b","upg1a1","upg1a2","upg1b","upg1c","upg1c1","upg1c2","upg2a1","upg2a2","upg2b","upg2c","upg2c1","upg2c2","upg3a1","upg3a2","upg3b","upg3c","upg3c1","upg3c2","upg4a1","upg4a2","upg4b","upg4c","upg4c1","upg4c2","upg5a1","upg5a2","upg5b","upg5c","upg5c1","upg5c2","upg6a1","upg6a2","upg6b","upg6c","upg6c1","upg6c2","upg7a1","upg7a2","upg7b","upg7c","upg7c1","upg7c2","upg8a1","upg8a2","upg8b","upg8c","upg8c1","upg8c2","upg9a1","upg9a2","upg9b","upg9c","upg9c1","upg9c2","upg10a1","upg10a2","upg10b","upg10c","upg10c1","upg10c2","upg11a1","upg11a2","upg11b","upg11c","upg11c1","upg11c2","upg12a1","upg12a2","upg12b","upg12c","upg12c1","upg12c2","upg13a1","upg13a2","upg13b","upg13c","upg13c1","upg13c2","upg14a1","upg14a2","upg14b","upg14c","upg14c1","upg14c2","upg15a1","upg15a2","upg15b","upg15c","upg15c1","upg15c2","upg16a1","upg16a2","upg16b","upg16c","upg16c1","upg16c2","dupg12a1","dupg12a2","dupg12b","dupg12c","dupg12c1","dupg12c2","dupg13a1","dupg13a2","dupg13b","dupg13c","dupg13c1","dupg13c2","dupg14a1","dupg14a2","dupg14b","dupg14c","dupg14c1","dupg14c2","suppnq1","suppnq2","suppnq3","nqfrat","nqrelig","nqcult","nqserv","nqsgov","nqnews","nqathim","nqathcoll","nqsliv","nqcrart","nqathsup","nqacad","nqrotc","skipped","edited","minutes","multrace","duke","pcis_pos","pcis_pun","pcis_ineff","ecrs_rejanx","ecrs_intav","spgmax","countmax","closemax","upgmax","ucountmax","uclosemax","spgcount","spgcountsum","spgclosesum","upgcount","upgcountsum","upgclosesum","inculcation_E","commonality_E","inculcation_P","commonality_P","inculcation_A","commonality_A","race_cat"
72,21,0,0,0,1,0,0,0,0,2,2,2,1,1,0,1,0,0,1,4,2,0,0,NA,0,0,NA,1,8,4,0,0,NA,1,4,4,0,0,NA,1,1,0,1,2,2,0,0,NA,1,3,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,1,15,12,0,0,NA,0,0,NA,1,22,12,1,2,0,1,58,58,1,5,2,1,4,4,0,0,NA,1,8,6,1,4,4,0,0,NA,1,1,0,2,NA,6,1,2,1,2,NA,6,1,6,2,2,NA,10,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,1,2,NA,4,1,8,3,2,NA,10,1,2,2,2,NA,4,1,20,3,2,NA,4,1,11,2,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,14,0,21,0,0,12,12,11,30,27,60,4,4,58.3,6,2,6,20,13,5,20,7,1.1221434958906,0.870543468860742,1.0001020499871,0.682597164284327,1.23949330239539,0.695229053420623,"afamer"
73,24,1,1,0,1,0,0,0,0,4,1,5,8,1,1,1,1,1,1,29,12,1,17,5,1,3,1,0,0,NA,1,8,3,1,6,3,1,6,2,0,0,NA,0,0,NA,1,19,12,1,12,7,1,7,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,1,1,12,6,0,0,NA,0,0,NA,0,0,NA,1,10,3,1,8,5,0,0,NA,1,100,39,1,14,6,1,1000,400,1,50,22,1,30,15,1,200,50,1,30,12,1,60,15,1,12,4,1,5,4,1,2,NA,1,6,2,2,NA,8,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,18,15,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,6,3,2,NA,9,0,0,NA,NA,NA,NA,1,100,62,1,3,NA,1,72,22,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,10,0,0,18,11,12,20,31,73,8,3,54.3,6,2,10,93,42,4,35,24,0.522609571801167,0.352181794949861,0.843825799857144,0.388583248667377,0.83296601479003,0.363770606648277,"afamer"
74,21,1,0,0,1,0,0,0,0,2,3,3,0,1,1,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,2,0,0,0,NA,0,0,NA,1,5,2,1,4,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,3,1,1,1,0,0,NA,1,5,5,1,1,1,1,100,25,0,0,NA,1,8,2,0,0,NA,1,40,15,1,2,1,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,3,2,NA,4,1,3,1,2,NA,2,1,2,1,1,6,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,1,8,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,4,1,4,2,2,NA,2,1,20,8,1,5,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,62,0,0,17,13,9,25,20,73,1,1,70.9,2,1,4,12,5,5,18,7,1.34264022706204,0.732707612185485,1.08281972403445,0.470253524805467,0.689332099938894,0.266033829431182,"afamer"
75,18,0,0,0,1,0,0,0,0,2,1,2,2,1,1,1,0,0,0,0,NA,1,3,3,1,1,1,0,0,NA,1,2,2,1,4,4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,1,2,2,0,0,NA,1,4,4,1,4,4,1,33,23,1,5,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,3,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,3,1,2,NA,1,5,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81,0,0,20,19,12,32,21,73,2,2,64.1,1,1,6,12,12,1,1,1,0.81907403511364,0.730825229842163,0.666738532579166,0.463804123051205,0.397028535277023,0.243703508290937,"afamer"
76,41,0,0,0,1,0,0,0,0,3,5,3,2,2,6,0,0,0,1,20,8,1,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,6,5,0,0,NA,0,0,NA,1,15,10,0,0,NA,1,25,20,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,6,3,1,12,NA,1,10,3,1,10,NA,0,0,NA,NA,NA,NA,1,20,8,1,2,NA,1,10,8,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105,0,0,15,15,11,26,23,54,2,2,47,10,3,1,2,2,2,16,6,1.13021269533639,0.832595260008038,0.756209271240453,0.499902302457577,0.710907801620998,0.507751420487644,"afamer"
77,22,1,0,0,1,0,0,0,0,4,4,2,2,1,1,1,0,0,1,2,1,1,2,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,1,1,1,5,5,1,2,2,1,2,2,0,0,NA,1,1,1,1,3,3,1,1,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,19,6,1,3,NA,1,2,2,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,0,0,12,10,9,30,25,54,2,1,54.3,1,1,1,2,1,1,1,1,0.637094622019047,0.667442193678044,0.621217116966188,0.517635250006678,0.280829402016051,0.294348120603054,"afamer"
78,21,0,0,0,1,0,0,0,0,3,6,5,9,6,1,1,0,0,1,50,50,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,3,0,0,NA,0,0,NA,1,6,6,0,0,NA,0,0,NA,1,4,4,0,0,NA,0,0,NA,1,2,2,1,3,3,1,1,1,1,100,100,1,100,100,1,300,300,0,0,NA,1,1,1,1,100,100,1,5,5,1,400,400,1,15,15,1,300,150,1,345,345,1,50,50,1,200,200,0,0,NA,1,15,15,1,3,NA,1,20,20,1,3,NA,1,100,20,1,3,NA,1,5,5,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,3,NA,1,6,6,1,3,NA,1,15,15,1,3,NA,1,5,5,1,3,NA,1,200,150,1,3,NA,1,100,75,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,70,0,0,18,18,6,23,27,70,2,2,58.3,100,20,6,19,19,7,163,83,1.12391053984369,0.747074778330036,0.589363840809129,0.32210198132569,1.01221165043748,0.48768378654596,"afamer"
79,22,1,0,0,1,0,0,0,0,4,5,2,2,1,1,1,0,1,1,8,3,0,0,NA,0,0,NA,0,0,NA,1,1,0,1,2,0,0,0,NA,1,2,0,0,0,NA,0,0,NA,1,4,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,4,2,0,0,NA,1,2,1,1,1,1,1,1,1,1,4,2,0,0,NA,0,0,NA,NA,NA,NA,1,2,1,1,2,NA,0,0,NA,NA,NA,NA,1,6,3,1,2,NA,1,5,2,1,2,NA,1,1,0,2,NA,9,1,2,0,1,2,NA,0,0,NA,NA,NA,NA,1,7,4,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,2,NA,1,10,6,1,2,NA,1,4,0,1,1,NA,1,2,0,2,NA,9,1,30,5,1,2,NA,1,5,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,62,0,0,17,10,6,27,19,73,1,0,76.8,1,0,4,9,1,8,37,16,1.21422063340844,0.844450159991235,1.10905375709064,0.700056849197798,1.31559186213353,0.667755145981097,"afamer"
80,20,1,0,0,0,0,0,0,0,3,5,3,0,3,0,1,0,0,1,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,3,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,5,2,1,1,1,1,5,5,1,1,1,1,2,1,1,2,1,1,1,1,1,10,5,0,0,NA,1,2,0,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,1,2,NA,2,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,15,4,1,3,NA,1,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,38,0,0,18,14,9,17,24,64,1,0,64.1,2,1,2,3,0,2,4,1,0.88426082525998,0.813112233348267,0.63697824037595,0.510228771722623,0.325687855826587,0.372936822187644,"none"
81,19,0,0,0,1,0,0,0,0,2,5,5,5,1,1,1,1,1,1,3,2,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,1,3,0,1,3,3,0,0,NA,1,1,0,1,1,1,0,0,NA,1,3,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,2,2,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,50,10,1,7,2,1,200,30,1,6,3,0,0,NA,1,1,1,1,1,1,1,12,11,0,0,NA,0,0,NA,NA,NA,NA,1,0,0,2,NA,0,1,1,1,1,2,NA,1,1,1,1,1,NA,1,1,1,2,NA,4,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2,2,1,5,NA,0,0,NA,NA,NA,NA,1,4,4,1,7,NA,1,15,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,189,0,0,20,13,9,36,25,73,1,1,70.9,1,1,8,15,9,6,8,6,0.96898058708845,0.77228222512081,0.806182979615236,0.485540213031594,0.616375985541452,0.372654155554045,"afamer"
82,21,1,0,0,1,0,0,0,0,2,3,2,4,1,2,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,3,NA,1,2,1,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,2,NA,3,1,5,2,1,8,NA,1,10,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,182,0,0,17,15,10,31,21,0,0,0,70.9,2,1,0,0,NA,2,3,2,1.07158113984928,0.877531889792665,0.933478397631111,0.786195764578362,0.790254021827776,0.614284229939734,"afamer"
83,19,1,0,0,1,0,0,0,0,2,1,5,3,1,1,1,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,20,6,0,0,NA,1,1,1,1,1,1,0,0,NA,1,50,7,0,0,NA,1,3,1,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,15,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,2,NA,6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,5,2,1,15,NA,1,10,3,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,17,18,12,11,16,0,0,0,54.3,1,1,0,0,NA,2,2,1,1.73021739514061,0.883106510679292,1.47990884028259,0.753649924757498,1.41559753227884,0.648113125711884,"afamer"
84,22,0,0,0,1,0,0,0,0,4,5,3,3,1,1,1,0,1,1,7,4,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,9,9,1,5,3,1,7,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,1,1,4,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,191,0,0,16,11,10,17,13,40,1,1,70.9,3,1,2,2,2,2,4,2,0.917346250345447,0.828548544456913,0.994227128103378,0.765644532927256,0.584147468731559,0.428792945663555,"afamer"
85,31,0,0,0,1,0,0,0,0,4,5,4,2,1,1,0,0,0,0,0,NA,0,0,NA,1,1,1,0,0,NA,1,3,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,1,1,1,1,0,0,0,NA,0,0,NA,1,1,0,0,0,NA,0,0,NA,1,1,1,1,100,2,0,0,NA,1,3,1,1,1,1,1,100,2,1,1,0,1,100,4,1,2,0,1,5,0,1,100,10,1,5,5,1,10,10,0,0,NA,0,0,NA,NA,NA,NA,1,1,1,1,7,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,0,1,7,NA,1,3,1,1,7,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,199,0,0,12,19,8,21,11,73,3,2,54.3,1,1,6,8,5,3,5,2,0.86220546693119,0.731041233489187,0.652649981109328,0.36073079187978,0.903102218927102,0.524071966143721,"afamer"
86,19,1,0,0,0,0,1,0,0,3,2,4,4,1,1,1,1,1,1,2,2,1,3,3,1,3,2,1,1,1,1,3,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,7,7,1,3,2,1,4,4,1,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,2,0,0,NA,1,3,3,1,6,4,1,4,1,1,6,6,1,3,3,0,0,NA,0,0,NA,1,2,2,1,20,20,1,3,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,5,5,2,NA,6,1,2,2,1,3,NA,1,4,4,1,2,NA,1,10,10,1,2,NA,1,1,1,1,1,NA,1,3,3,1,1,NA,1,1,1,2,NA,3,1,3,3,1,2,NA,1,6,6,1,3,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,6,1,8,6,2,NA,7,1,20,6,1,2,NA,1,5,3,2,NA,6,1,15,11,1,3,NA,1,7,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,20,9,8,23,17,73,3,3,76.8,3,3,10,31,29,11,63,47,0.876151807759127,0.656784310145574,0.759380752773561,0.455757191565191,0.585234491714251,0.358830430089978,"hawaii"
87,23,0,0,0,1,0,0,0,0,3,3,5,5,3,5,1,0,0,1,100,65,1,5,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,6,4,0,0,NA,1,6,3,1,3,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,3,2,0,0,NA,0,0,NA,1,4,1,0,0,NA,0,0,NA,1,20,8,1,5,3,1,45,12,1,8,0,0,0,NA,0,0,NA,0,0,NA,1,10,10,1,4,4,0,0,NA,NA,NA,NA,1,2,1,1,6,NA,1,4,0,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,4,3,1,1,NA,1,3,1,1,3,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,4,NA,0,0,NA,NA,NA,NA,1,2,2,1,3,NA,0,0,NA,NA,NA,NA,1,50,20,1,8,NA,1,45,12,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,54,0,0,10,17,11,21,29,60,6,4,76.8,4,3,5,23,11,5,15,7,1.26198785114921,0.73049925604645,1.43463211039511,0.65752591098487,1.43999180799982,0.645861288043355,"afamer"
89,43,0,0,1,0,0,0,0,0,3,4,5,2,1,6,0,0,1,1,200,20,1,4,3,1,4,3,1,5,4,1,4,2,1,2,1,1,6,2,1,0,0,0,0,NA,0,0,NA,1,3,0,1,2,1,0,0,NA,1,1,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2,1,1,50,10,1,50,10,1,4,2,1,4,2,0,0,NA,1,300,20,1,10,2,1,100,8,1,40,4,1,8,2,0,0,NA,1,50,15,1,200,25,1,8,4,1,3,0,2,NA,2,1,2,0,2,NA,2,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,3,1,2,NA,4,1,2,1,2,NA,3,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,1,1,1,2,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,10,4,2,NA,4,1,4,4,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,19,7,10,19,12,73,4,2,76.8,2,1,11,33,18,5,11,3,0.990729095838563,0.819011193783684,0.602446546022179,0.612093560599608,0.632185313617584,0.696895565514942,"cauc"
